year,force,breath_tests,acc_all,acc_ksi,acc_speeding,acc_drink,acc_phone,fpn_all,fpn_phone,fpn_speed,fpn_camera_speed,fpn_camera,officers,roads_officers,million_km
2010,Avon and Somerset,13690,3816,498,129,128,10,24680,2015,1376,57466,59982,3302,157,15588
2010,Bedfordshire,5104,1610,241,90,74,11,5870,1185,1249,9405,10739,1246,57,4811
2010,Cambridgeshire,16013,2551,391,60,81,6,16224,2226,1974,12120,12220,1471,101,8849
2010,Cheshire,16221,3018,537,76,129,4,22292,4165,4329,13220,15834,2155,90,11722
2010,City of London,2777,335,41,2,1,0,5492,566,296,1892,3113,852,30,166
2010,Cleveland,11311,996,133,27,29,2,9333,1481,2543,6103,6103,1724,115,4017
2010,Cumbria,10912,1284,192,45,39,5,6195,1080,1131,16584,16584,1238,86,5413
2010,Derbyshire,8890,2820,353,92,133,2,6560,1411,954,5402,5402,2074,88,9231
2010,Devon and Cornwall,10288,4281,516,198,178,11,38466,2937,19661,15436,18043,3556,239,14631
2010,Dorset,8652,1950,314,63,73,4,16286,1129,4357,32265,32589,1486,76,5447
2010,Durham,8060,1417,193,73,73,2,7382,1023,1020,2957,2957,1507,96,4583
2010,Essex,23114,4007,724,98,171,6,63735,7411,25694,17926,20243,3606,257,15744
2010,Gloucestershire,7101,1146,169,44,49,2,6487,1218,1639,4325,4719,1309,65,6188
2010,Greater Manchester,21346,5444,700,155,180,9,29437,6020,1617,41675,47000,8148,310,35021
2010,Hampshire,30096,4809,883,144,178,12,21077,1700,6176,24143,25099,3748,181,17562
2010,Hertfordshire,12722,2702,368,150,112,14,18054,3626,1703,26358,29607,2130,139,11045
2010,Humberside,18315,2466,446,72,95,6,16187,2489,3939,18298,18373,2058,116,6955
2010,Kent,13597,4837,537,168,182,12,24470,4877,7045,15828,15828,3787,138,15429
2010,Lancashire,38422,4439,729,189,141,17,27629,5187,3166,21577,21577,3649,171,12128
2010,Leicestershire,8556,2637,307,144,96,11,12123,1729,1805,13306,17639,2317,86,9227
2010,Lincolnshire,19370,2434,401,99,113,6,22283,1526,2395,16303,16303,1206,84,5832
2010,Merseyside,17882,3161,467,109,100,4,62632,6859,9756,19715,20038,4516,164,15127
2010,Metropolitan,83821,23810,2710,1040,334,34,76297,7611,3665,20423,27990,33367,298,29538
2010,Norfolk/Suffolk,30897,3608,577,146,133,9,43819,2723,9022,32119,32169,2908,169,13801
2010,North Yorkshire,17317,2105,478,55,74,2,27683,3290,8845,5465,5465,1486,99,9036
2010,Northamptonshire,8189,1329,275,87,74,11,9379,1620,883,8237,9950,1343,68,8241
2010,Northumbria,10020,3599,450,78,129,7,10498,2237,936,18488,20037,4187,189,9595
2010,Nottinghamshire,14653,3004,499,132,93,5,10354,2325,1181,16614,24620,2409,47,8323
2010,South Yorkshire,23286,3459,388,81,90,6,24074,3712,3971,10900,13260,2953,130,19438
2010,Staffordshire,12997,3244,230,164,134,8,26906,980,20993,19726,20197,2161,67,10310
2010,Surrey,10087,3803,486,200,187,12,16017,3388,2174,20767,24499,1890,100,13362
2010,Sussex,19159,4039,764,127,150,6,31708,4250,6310,24088,27649,3213,159,12500
2010,Thames Valley,31360,5572,839,208,238,23,44751,4183,12673,39431,40436,4434,228,24052
2010,Warwickshire,8853,1506,263,86,93,10,8214,2109,2105,17792,20077,973,10,8756
2010,West Mercia,14341,2783,321,100,113,9,13555,2894,3388,28324,28809,2391,101,12491
2010,West Midlands,3125,6216,837,367,238,11,32271,5311,3320,29586,32918,8626,351,31699
2010,West Yorkshire,17407,5761,814,151,143,11,42346,5128,5881,19126,22295,5758,315,30477
2010,Wiltshire,17959,1279,255,62,65,5,15365,1886,4956,20932,21206,1181,83,7313
2011,Avon and Somerset,9214,3537,438,86,114,4,23240,1774,1471,26949,28076,3080,127,15577
2011,Bedfordshire,5843,1574,184,77,63,6,5421,1435,1002,12416,13996,1168,57,4813
2011,Cambridgeshire,11827,2416,370,68,99,4,15717,2344,3306,28197,28322,1370,83,8885
2011,Cheshire,15087,2925,554,68,125,8,21280,3995,4281,34506,38826,1989,108,11790
2011,City of London,1775,355,49,1,5,0,2452,699,227,6333,7417,885,41,162
2011,Cleveland,9438,986,143,29,30,1,7041,1256,2009,18663,18665,1504,104,4043
2011,Cumbria,12829,1256,205,47,46,6,6718,1354,1352,32471,32565,1164,91,5368
2011,Derbyshire,8372,2820,385,81,124,3,5369,1340,676,6171,6466,1917,89,9250
2011,Devon and Cornwall,21474,4251,510,191,188,17,13142,2388,2560,10557,11762,3158,118,14585
2011,Dorset,8698,1926,311,70,61,2,14902,1532,5940,24495,25423,1331,52,5385
2011,Durham,7772,1383,210,60,65,2,5449,976,1012,6998,7018,1370,93,4598
2011,Essex,19498,4019,683,107,162,10,36337,6609,7605,17116,19848,3415,48,15920
2011,Gloucestershire,7444,1194,231,48,49,4,4882,992,1367,5862,5973,1184,59,6185
2011,Greater Manchester,24060,5127,704,177,161,12,28083,6924,2190,97652,110277,7607,335,35375
2011,Hampshire,31416,5000,1086,122,172,14,25963,5325,8288,56798,58157,3347,160,17599
2011,Hertfordshire,10944,2650,322,148,100,10,18400,3729,1558,21496,23437,1960,125,11366
2011,Humberside,11450,2681,431,83,115,5,18530,2832,4155,38578,38692,2391,107,6950
2011,Kent,12060,4867,526,191,189,14,21493,4976,5242,16128,16167,3480,125,15706
2011,Lancashire,44433,4072,727,144,150,7,31910,6097,3932,47087,47139,3221,159,12194
2011,Leicestershire,6003,2471,308,119,90,8,10403,1546,2154,35877,42903,2240,73,9227
2011,Lincolnshire,17601,2355,411,86,100,9,18090,1773,3323,14646,14927,1097,48,5830
2011,Merseyside,18263,3023,487,110,90,4,46695,6018,10109,30166,35278,3994,154,15277
2011,Metropolitan,73028,24113,2656,986,335,47,137332,33284,17605,48885,53552,31957,661,28941
2011,Norfolk/Suffolk,29202,3715,602,148,147,16,40357,3825,9504,61118,61471,2772,181,13747
2011,North Yorkshire,14218,1997,444,71,71,4,17238,2302,5115,14408,14470,1406,93,9030
2011,Northamptonshire,9426,1252,273,63,54,3,7869,1502,1081,22919,23110,1256,61,8116
2011,Northumbria,9501,3426,434,71,120,10,6269,1628,853,49956,53607,3838,171,9670
2011,Nottinghamshire,12262,2984,551,127,139,7,9031,2302,1035,20507,30762,2166,33,8353
2011,South Yorkshire,16085,3408,444,95,122,5,21486,4079,3138,49744,51760,2764,124,19518
2011,Staffordshire,12419,3042,233,180,139,13,5581,959,986,14088,14205,1923,49,10466
2011,Surrey,9913,4023,543,219,186,16,16414,3830,2442,45934,49222,1979,107,13508
2011,Sussex,20335,3988,832,53,161,11,32425,5537,9464,56990,61273,2956,154,12505
2011,Thames Valley,30527,5722,884,216,280,27,42662,10472,15058,117473,117559,4212,212,23984
2011,Warwickshire,5176,1508,274,85,113,8,3601,862,710,11545,12695,821,73,8733
2011,West Mercia,15678,2825,366,112,156,5,10906,2606,2300,75795,76262,2263,107,12541
2011,West Midlands,3471,5365,918,305,201,15,32886,6846,4258,31729,32555,7964,225,32174
2011,West Yorkshire,14149,5402,838,114,180,7,35307,4995,6192,80226,84660,5171,252,30684
2011,Wiltshire,15522,1413,289,60,63,4,14552,1992,5379,0,6,1167,73,7325
2012,Avon and Somerset,7000,3390,452,102,109,4,19067,1443,2047,76625,76783,2896,102,15495
2012,Bedfordshire,5140,1478,211,60,58,8,5799,1563,1143,12817,13402,1070,53,4890
2012,Cambridgeshire,9112,2319,338,48,68,4,19133,2490,5291,27705,27823,1355,85,8786
2012,Cheshire,15337,2824,562,59,116,6,19883,3606,4619,32157,35818,1991,103,11645
2012,City of London,1800,376,58,3,5,0,1837,347,234,8272,8956,732,11,157
2012,Cleveland,6775,1021,161,35,35,0,5758,1165,1246,15569,15569,1445,106,4082
2012,Cumbria,12665,1245,172,47,33,2,5455,1174,988,34121,34195,1144,92,5388
2012,Derbyshire,7863,2525,373,76,99,5,3321,659,341,8748,8921,1922,82,9308
2012,Devon and Cornwall,18214,4013,555,188,192,12,10995,2526,2349,11905,12942,3085,121,14370
2012,Dorset,7249,1861,355,36,68,8,10328,1073,3826,20707,21857,1249,48,5340
2012,Durham,6259,1248,210,57,58,10,3464,655,832,7215,7233,1335,90,4616
2012,Essex,16285,3935,659,89,169,6,29271,4950,4879,21673,26790,3279,47,15921
2012,Gloucestershire,6846,1078,227,43,50,5,3600,487,1274,6000,6074,1181,58,6136
2012,Greater Manchester,25954,4378,657,137,194,16,45850,8272,5614,96786,106138,7058,271,35268
2012,Hampshire,28207,4741,928,113,149,14,30564,4998,9975,73278,74086,3333,159,17488
2012,Hertfordshire,9273,2642,378,169,124,14,16385,2543,1406,22911,24032,2011,114,11509
2012,Humberside,14327,2587,441,70,97,9,15730,2667,4250,42036,42043,1782,104,6930
2012,Kent,10159,4778,521,150,193,12,15138,3112,3254,18800,18810,3441,114,15651
2012,Lancashire,45270,3939,653,146,141,17,23415,3995,4724,40635,40772,3157,158,11963
2012,Leicestershire,6833,2464,268,118,96,11,8188,1295,1506,27863,33629,2178,68,9131
2012,Lincolnshire,14329,2292,369,72,98,5,14869,1457,2436,19504,19631,1095,48,5791
2012,Merseyside,17280,3050,522,91,72,10,40532,4871,7951,31933,38333,3983,155,15149
2012,Metropolitan,61231,23721,2869,584,262,37,126046,27605,13768,62448,64136,31208,670,28740
2012,Norfolk/Suffolk,33795,3589,625,131,155,16,33431,3189,11374,61785,61973,2713,149,13694
2012,North Yorkshire,14176,2100,445,89,85,4,13354,1617,3704,16065,16121,1377,91,8859
2012,Northamptonshire,14132,1197,299,45,49,3,6497,1198,904,19489,19506,1276,64,8215
2012,Northumbria,10664,3223,459,81,106,7,20602,1359,1065,63900,66602,3670,170,9644
2012,Nottinghamshire,12873,2853,516,114,112,4,11849,2042,1360,20921,24356,2194,39,8397
2012,South Yorkshire,13372,3155,445,84,104,7,15390,2528,2616,41553,43772,2786,120,19446
2012,Staffordshire,12179,2858,225,150,118,13,5288,661,1290,17905,18003,1822,55,10473
2012,Surrey,8637,3967,541,173,171,19,13798,2770,2134,47053,50266,1925,149,13469
2012,Sussex,21560,3908,812,59,149,7,29111,4858,8458,47703,49822,2871,146,12394
2012,Thames Valley,29401,5418,829,189,255,25,42609,10398,15863,128874,130295,4295,208,23978
2012,Warwickshire,6384,1488,258,78,86,13,3972,938,671,15000,15912,800,38,8867
2012,West Mercia,16982,2568,360,99,121,7,9001,2144,1540,75079,75790,2051,99,12265
2012,West Midlands,17958,4838,881,255,181,9,27716,4135,4017,29841,31550,7687,221,32286
2012,West Yorkshire,14208,5415,863,107,144,1,32550,3873,5658,79288,82039,5044,247,30237
2012,Wiltshire,10522,1445,262,79,66,4,11145,1393,3796,0,4,1074,64,7266
2013,Avon and Somerset,6380,3309,469,114,127,8,11901,1108,1460,70924,71017,2926,108,15605
2013,Bedfordshire,4829,1302,202,51,50,10,5218,1041,1036,25066,25443,1081,52,5053
2013,Cambridgeshire,13585,2067,337,52,76,11,17109,2846,4686,17607,17735,1336,72,8936
2013,Cheshire,16463,2561,414,62,93,3,19288,3273,5656,25699,28342,1901,95,11676
2013,City of London,1368,308,57,1,7,1,1615,265,140,6155,7062,744,10,156
2013,Cleveland,6106,919,133,27,25,0,6331,977,1276,10463,10464,1378,49,4032
2013,Cumbria,12381,1226,201,41,38,3,5044,916,1514,32122,32122,1161,92,5438
2013,Derbyshire,5735,2286,333,68,77,2,3339,959,391,7453,7458,1881,69,9232
2013,Devon and Cornwall,15309,3924,593,216,174,19,7143,1534,1778,10691,11947,3065,105,14461
2013,Dorset,8058,1774,326,40,56,3,8036,969,2736,21025,21552,1204,49,5381
2013,Durham,7801,1180,217,76,58,8,4051,676,1496,5867,5876,1276,88,4624
2013,Essex,15289,3856,619,130,168,10,30267,5174,8633,33675,37494,3105,152,15984
2013,Gloucestershire,6292,775,190,22,35,3,3306,540,1298,8539,8569,1176,58,6188
2013,Greater Manchester,23890,3861,614,154,146,12,30011,5815,3917,65844,75049,6711,244,35088
2013,Hampshire,22290,4475,972,112,155,17,26972,4826,11392,64439,65019,3277,160,17473
2013,Hertfordshire,7226,2320,358,125,106,13,14684,2505,2364,32576,33740,1923,98,11587
2013,Humberside,13293,2578,479,70,108,10,10407,1473,2811,51575,51585,1707,98,6981
2013,Kent,9919,4872,580,144,228,18,7832,1518,1756,24108,24117,3298,107,15544
2013,Lancashire,40991,3755,732,129,142,13,17274,3303,4596,45679,45679,3016,134,12107
2013,Leicestershire,5606,2392,269,130,103,9,8974,1322,1577,29350,37768,2117,67,9297
2013,Lincolnshire,16272,2310,375,109,106,10,7983,1498,2638,42365,42367,1099,42,5843
2013,Merseyside,22941,2655,529,105,84,4,26025,2780,6425,33926,38891,3980,127,15138
2013,Metropolitan,76302,22789,2181,516,318,44,142832,25043,18441,57890,64383,31956,587,28663
2013,Norfolk/Suffolk,34462,3443,588,136,117,11,28812,2230,9752,72674,72836,2799,152,13807
2013,North Yorkshire,12053,2025,448,80,80,12,8706,1081,2302,38217,38221,1392,97,9044
2013,Northamptonshire,11355,1207,297,58,41,6,6439,700,500,20138,20138,1220,53,8269
2013,Northumbria,9467,3054,391,69,100,8,6031,1193,745,84104,86172,3541,151,9709
2013,Nottinghamshire,12374,2643,421,103,94,6,10812,3496,2161,23178,25546,2142,38,8412
2013,South Yorkshire,12639,2992,439,106,108,8,13180,1718,2848,46478,48176,2724,108,19495
2013,Staffordshire,11409,2804,198,185,104,13,5475,1798,1219,47975,48255,1760,54,10415
2013,Surrey,11193,3793,572,145,116,19,12969,2448,2534,49885,54983,1858,107,13466
2013,Sussex,20090,3948,835,56,141,13,14786,2595,3945,40589,44034,2875,159,12313
2013,Thames Valley,28007,5190,831,220,224,18,39127,8824,15756,128378,129358,4364,201,24046
2013,Warwickshire,3924,1479,268,66,66,8,3265,736,586,28350,29073,877,83,8887
2013,West Mercia,16268,2256,360,99,105,10,10616,2826,1889,67723,68478,1966,184,12417
2013,West Midlands,18741,5115,826,314,190,13,18314,2037,2945,33843,34226,7186,225,31869
2013,West Yorkshire,14747,4866,767,108,124,5,35700,4468,6752,58300,60258,4790,192,30242
2013,Wiltshire,12515,1477,227,57,78,3,12720,1519,4718,0,0,1028,43,7291
2014,Avon and Somerset,6740,3263,454,133,102,6,8323,956,1371,99388,99425,2652,78,15951
2014,Bedfordshire,5473,1577,213,57,63,12,6059,966,1853,38549,38607,1236,49,5202
2014,Cambridgeshire,12970,2049,346,55,80,10,15369,2137,5273,36138,36154,1344,72,9214
2014,Cheshire,17750,2673,503,75,98,9,13939,2193,4278,40200,43866,2007,105,12090
2014,City of London,943,348,54,6,4,2,1901,246,450,5809,6110,730,10,160
2014,Cleveland,4180,889,146,25,31,4,3997,530,771,6934,6936,1327,33,4159
2014,Cumbria,11606,1397,197,51,41,7,4085,847,992,34847,34847,1133,75,5576
2014,Derbyshire,5577,2400,458,93,73,0,4206,963,887,13154,13154,1879,67,9351
2014,Devon and Cornwall,13408,3967,648,230,186,15,5833,1309,1463,15317,16368,3037,118,14752
2014,Dorset,7086,1826,353,45,62,1,7868,978,3036,17275,17613,1211,50,5514
2014,Durham,5353,1242,181,91,65,6,1999,345,746,6184,6184,1200,74,4734
2014,Essex,14329,4117,688,117,179,24,25166,5078,6515,63952,68194,3070,130,16580
2014,Gloucestershire,5696,798,198,27,30,1,2685,711,813,16639,16652,1108,44,6434
2014,Greater Manchester,19739,4004,683,175,164,18,15061,2822,1155,75027,85056,6334,216,35623
2014,Hampshire,26691,4527,1003,92,130,20,27161,5531,10720,64665,65100,2857,164,17945
2014,Hertfordshire,6412,2634,344,135,87,13,15421,2957,3412,44017,44786,1921,99,11967
2014,Humberside,11285,2689,450,86,95,5,10809,1250,2779,47998,48046,1617,79,7206
2014,Kent,9543,5279,647,194,211,18,5654,873,1186,22490,22490,3281,110,15884
2014,Lancashire,24440,3879,798,133,152,12,7660,1073,1250,59195,59195,2932,132,12381
2014,Leicestershire,5861,2479,341,150,76,13,6963,1182,1231,40040,47318,1988,62,9554
2014,Lincolnshire,13450,2194,347,128,108,14,9174,1570,3936,44691,44691,1071,5,5968
2014,Merseyside,21064,2831,576,90,84,7,29085,3927,6845,37770,42290,3799,129,15480
2014,Metropolitan,58575,25682,2053,636,332,57,105079,21554,14961,64227,69805,32347,735,29175
2014,Norfolk/Suffolk,35330,3643,568,181,113,22,27871,1934,8191,77977,78068,2716,135,14182
2014,North Yorkshire,13168,2036,429,76,67,12,6697,761,1923,42044,42044,1393,96,9272
2014,Northamptonshire,6317,1301,287,53,35,7,4790,654,294,34911,34911,1220,19,8453
2014,Northumbria,9057,3198,407,76,97,5,3832,788,358,62410,64387,3476,144,9883
2014,Nottinghamshire,13570,2880,407,114,113,11,11925,3655,3775,29173,31347,2043,36,8640
2014,South Yorkshire,11512,3168,418,138,101,9,9884,1661,1477,38728,40635,2530,89,19854
2014,Staffordshire,10675,2799,206,181,130,13,4931,1475,988,50381,50983,1740,47,10708
2014,Surrey,9861,3962,679,146,102,7,12976,2551,1735,48107,50712,1904,106,13833
2014,Sussex,22000,4297,931,47,174,9,13603,1782,4168,45397,48708,2861,160,12642
2014,Thames Valley,32931,5429,912,218,211,44,38650,9339,15562,117291,118252,4213,198,24656
2014,Warwickshire,3869,1653,284,94,84,7,3763,703,952,31193,31490,817,38,9019
2014,West Mercia,19154,2327,373,84,125,9,10248,2428,2830,84978,85306,2010,80,12753
2014,West Midlands,14442,5603,875,372,215,21,11026,2115,2610,40923,40952,7188,209,32967
2014,West Yorkshire,12746,5043,846,133,160,3,21152,2754,3335,74268,75400,4689,139,31444
2014,Wiltshire,7611,1574,270,74,77,5,5907,794,2084,0,0,1019,36,7623
2015,Avon and Somerset,6466,3000,446,125,95,6,7202,798,1549,111619,112524,2679,84,16236
2015,Bedfordshire,4554,1478,229,68,60,2,4566,842,1378,38031,38127,1314,47,5371
2015,Cambridgeshire,10881,1968,326,67,75,11,12830,2320,3576,35664,35826,1323,72,9503
2015,Cheshire,13086,2322,441,70,81,3,14003,2142,3913,41665,45671,1953,106,12204
2015,City of London,899,344,42,1,3,1,2323,298,774,3952,3952,700,8,160
2015,Cleveland,3610,941,195,50,37,1,2487,362,429,10154,10154,1292,35,4214
2015,Cumbria,7297,1293,204,33,39,4,2963,637,622,35843,35843,1112,73,5678
2015,Derbyshire,6750,2147,358,94,81,3,4221,839,921,9420,9420,1827,68,9495
2015,Devon and Cornwall,14319,3856,605,243,208,18,5452,1218,1333,23315,23975,2951,74,14927
2015,Dorset,6043,1777,344,67,61,10,8205,904,4767,18256,18635,1199,55,5577
2015,Durham,5382,1073,223,76,49,1,2362,462,786,5897,5897,1151,70,4831
2015,Essex,10153,3746,714,126,155,9,25237,5455,5604,71684,74399,2865,110,16895
2015,Gloucestershire,6675,815,216,32,34,3,3225,879,1125,15017,15023,1060,43,6550
2015,Greater Manchester,8118,3073,605,135,114,10,13163,3052,743,94351,109189,6290,192,35863
2015,Hampshire,26314,4365,990,105,142,20,25048,5161,9872,72987,73023,2896,155,18360
2015,Hertfordshire,5333,2510,361,136,73,20,10166,1905,1714,66059,67354,1925,95,12226
2015,Humberside,7286,2394,387,71,83,9,10061,1117,2883,48390,48393,1591,79,7306
2015,Kent,9276,4878,637,205,239,24,5600,689,1070,18696,18696,3270,107,16311
2015,Lancashire,18331,3711,758,146,153,19,7282,959,897,64211,64211,2810,134,12638
2015,Leicestershire,4383,2249,341,160,87,7,4919,650,836,31695,39033,1919,53,9623
2015,Lincolnshire,10693,2134,279,109,115,14,5343,1103,1882,42881,42881,1035,4,6103
2015,Merseyside,21691,2706,554,122,79,2,21283,2798,5063,47699,53223,3713,136,15660
2015,Metropolitan,52269,24888,1973,603,337,56,87198,17120,11607,56315,89615,32057,727,29072
2015,Norfolk/Suffolk,25625,3235,526,145,121,11,21210,3046,5400,62329,62365,2573,78,14519
2015,North Yorkshire,11987,2062,433,96,90,6,6410,792,2254,27249,27249,1323,92,9434
2015,Northamptonshire,7363,1323,292,67,53,6,4264,345,208,47798,47798,1209,19,8641
2015,Northumbria,9690,3229,424,93,115,7,2936,275,548,58157,60476,3276,141,9953
2015,Nottinghamshire,10028,2750,416,121,101,8,12730,3107,5135,29169,30819,1961,25,8827
2015,South Yorkshire,8924,3066,359,140,118,7,8988,1416,1144,43901,46704,2478,91,20250
2015,Staffordshire,10883,2599,271,100,87,11,5441,1492,1109,39858,40418,1621,45,10847
2015,Surrey,8132,3858,638,100,115,8,11697,1690,1762,68005,71427,1944,109,14142
2015,Sussex,17000,4302,870,59,189,12,12362,1569,3423,51007,53472,2757,140,12882
2015,Thames Valley,32064,5190,894,227,215,37,37597,10003,14054,124552,125789,4106,181,25341
2015,Warwickshire,5351,1504,280,79,86,7,3583,675,761,39309,39664,822,37,9301
2015,West Mercia,19941,2297,431,123,119,12,8731,2127,2419,78456,78699,2014,76,12948
2015,West Midlands,10344,6096,894,404,216,14,12909,2557,3128,35692,35692,6640,197,33042
2015,West Yorkshire,13675,5286,825,126,151,2,19804,2752,3024,107542,109270,4574,144,32039
2015,Wiltshire,5920,1584,274,70,87,8,3944,453,1261,0,0,1020,35,7737
2016,Avon and Somerset,6431,3044,391,142,93,7,7641,831,1177,152585,157884,2600,87,16780
2016,Bedfordshire,3467,1527,254,91,62,8,3641,533,527,54695,54968,1289,50,5498
2016,Cambridgeshire,11096,2181,382,78,68,11,9202,931,1931,30932,31332,1350,73,9781
2016,Cheshire,12008,2370,412,75,73,4,13304,2589,3481,47603,48774,2026,102,12413
2016,City of London,801,368,50,4,4,1,2905,779,662,2806,2806,735,27,154
2016,Cleveland,4482,777,148,42,24,2,2461,349,298,12846,12846,1274,33,4300
2016,Cumbria,5745,1281,270,58,53,7,2666,624,513,41930,41930,1100,72,5839
2016,Derbyshire,5706,1915,338,76,72,6,2659,392,430,8521,8521,1689,67,9754
2016,Devon and Cornwall,13014,3586,743,208,204,8,5012,1004,1284,39858,40263,2944,65,15365
2016,Dorset,4909,1571,338,64,63,5,5651,696,2809,18751,19263,1199,39,5707
2016,Durham,6502,1013,202,33,33,0,1900,357,573,6661,6661,1159,70,4858
2016,Essex,8479,3694,918,38,57,0,23001,4932,6525,88668,92816,2872,120,17384
2016,Gloucestershire,5994,846,242,27,45,3,1991,555,475,19216,19216,1060,38,6615
2016,Greater Manchester,7766,2907,615,109,75,7,9688,2471,416,85785,95124,6296,148,36273
2016,Hampshire,22305,4376,990,87,169,8,19213,3709,7317,68317,68329,2875,148,18785
2016,Hertfordshire,4597,2642,432,155,91,20,9234,1250,1391,54818,56286,1943,94,12489
2016,Humberside,5609,2389,454,46,84,7,9649,1095,2397,50101,50121,1734,57,7457
2016,Kent,9527,5047,878,187,201,11,6893,745,1158,15916,15916,3271,94,16666
2016,Lancashire,17974,3675,753,112,129,12,8024,1039,862,58754,58756,2905,124,12731
2016,Leicestershire,4181,2174,305,187,108,15,4033,541,552,34428,41857,1837,44,9890
2016,Lincolnshire,8403,1988,380,95,89,12,4427,695,1295,48066,48066,1072,3,6239
2016,Merseyside,17536,2494,556,106,97,1,20646,2297,7071,52152,55625,3553,132,15952
2016,Metropolitan,40373,24789,2355,694,382,80,103845,22079,15243,62831,76852,30509,689,29537
2016,Norfolk/Suffolk,22429,3453,641,132,107,20,20111,3440,5659,71890,71902,2571,81,14874
2016,North Yorkshire,11270,2043,434,66,75,13,4882,563,845,28851,28851,1366,64,9634
2016,Northamptonshire,6060,1204,268,66,29,3,5022,390,232,44007,44007,1237,60,8799
2016,Northumbria,8129,2802,502,79,72,4,3612,546,816,52581,54886,3236,132,10187
2016,Nottinghamshire,8380,2584,429,123,102,13,4581,712,514,24874,26684,1806,23,8937
2016,South Yorkshire,7875,3053,549,135,120,6,7085,915,704,39217,42330,2390,93,20677
2016,Staffordshire,10316,2582,324,73,54,10,6127,1657,1093,27949,28410,1549,51,11057
2016,Surrey,8042,3742,526,114,174,16,7532,1409,899,44939,47912,1925,94,14319
2016,Sussex,18600,4143,928,65,197,18,8872,1038,2175,58309,60683,2616,116,13247
2016,Thames Valley,25440,4871,913,239,212,50,31818,7629,11843,119817,121687,4073,197,25942
2016,Warwickshire,4983,1455,340,92,82,16,3357,646,695,41402,41449,907,36,9488
2016,West Mercia,18421,2300,497,140,99,11,7429,2332,1700,73298,73363,1999,79,13217
2016,West Midlands,11191,5905,1004,361,171,15,11338,2176,2069,40014,40014,6578,189,33868
2016,West Yorkshire,12281,4969,793,148,141,5,21383,3562,4361,99840,103607,4845,160,33094
2016,Wiltshire,7123,1593,287,64,84,6,4246,407,974,0,2,978,33,7903
