ONS Code,Region/Local Authority,Dry,Wet or flood,Snow or ice,Fatal,Serious,Slight,All
E12000001,North East,3731,1424,88,58,784,4401,5243
E06000047,County Durham,595,249,22,24,169,673,866
E06000005,Darlington,144,59,4,0,30,177,207
E08000037,Gateshead,365,145,7,4,56,457,517
E06000001,Hartlepool,109,25,2,1,33,102,136
E06000002,Middlesbrough,245,55,4,0,51,253,304
E08000021,Newcastle upon Tyne,557,199,9,4,93,668,765
E08000022,North Tyneside,321,123,3,1,50,396,447
E06000057,Northumberland,457,237,22,15,112,589,716
E06000003,Redcar and Cleveland,142,41,7,4,42,144,190
E08000023,South Tyneside,188,65,0,1,24,228,253
E06000004,Stockton-on-Tees,234,74,3,1,63,247,311
E08000024,Sunderland,374,152,5,3,61,467,531
E12000002,North West,9062,3830,210,172,2390,10543,13105
E06000008,Blackburn with Darwen,272,113,12,1,74,323,398
E06000009,Blackpool,289,84,0,1,54,318,373
E08000001,Bolton,253,112,8,4,65,304,373
E08000002,Bury,119,59,1,2,28,149,179
E06000049,Cheshire East,548,275,14,18,151,668,837
E06000050,Cheshire West and Chester,528,221,7,12,144,600,756
E10000006,Cumbria,810,427,56,27,177,1089,1293
E06000006,Halton,146,75,3,4,27,193,224
E08000011,Knowsley,211,56,4,2,42,227,271
E10000017,Lancashire,1976,907,55,32,596,2312,2940
E08000012,Liverpool,876,255,6,10,210,917,1137
E08000003,Manchester,510,210,3,11,116,596,723
E08000004,Oldham,215,64,10,3,63,223,289
E08000005,Rochdale,167,76,6,5,46,198,249
E08000006,Salford,206,78,0,4,43,237,284
E08000014,Sefton,354,117,5,5,109,362,476
E08000013,St. Helens,212,101,4,1,46,270,317
E08000007,Stockport,168,61,1,5,42,183,230
E08000008,Tameside,161,75,2,2,45,191,238
E08000009,Trafford,189,69,2,4,49,207,260
E06000007,Warrington,345,153,7,4,81,420,505
E08000010,Wigan,160,87,1,8,60,180,248
E08000015,Wirral,347,155,3,7,122,376,505
E12000003,Yorkshire and The Humber,9289,3309,209,131,1873,10804,12808
E08000016,Barnsley,380,110,9,3,60,436,499
E08000032,Bradford,862,350,23,7,169,1059,1235
E08000033,Calderdale,281,125,5,6,73,332,411
E08000017,Doncaster,656,191,8,14,81,760,855
E06000011,East Riding of Yorkshire,494,234,34,11,135,616,762
E06000010,"Kingston upon Hull, City of",588,156,4,1,101,646,748
E08000034,Kirklees,655,279,10,7,130,807,944
E08000035,Leeds,1466,497,16,15,292,1672,1979
E06000012,North East Lincolnshire,344,87,4,1,55,379,435
E06000013,North Lincolnshire,318,120,11,4,79,366,449
E10000023,North Yorkshire,1098,465,50,29,340,1244,1613
E08000018,Rotherham,422,144,8,9,67,498,574
E08000019,Sheffield,867,253,18,14,111,1013,1138
E08000036,Wakefield,509,201,6,8,118,591,717
E06000014,York,349,97,3,2,62,385,449
E12000004,East Midlands,7347,2884,237,167,1519,8917,10603
E06000015,Derby,426,150,7,2,68,513,583
E10000007,Derbyshire,1076,437,51,22,266,1276,1564
E06000016,Leicester,649,190,6,10,84,751,845
E10000018,Leicestershire,877,410,24,30,192,1089,1311
E10000019,Lincolnshire,1397,609,76,39,240,1855,2134
E10000021,Northamptonshire,966,347,10,30,262,1031,1323
E06000018,Nottingham,698,221,11,4,124,828,956
E10000024,Nottinghamshire,1198,490,49,22,266,1506,1794
E06000017,Rutland,60,30,3,8,17,68,93
E12000005,West Midlands,8731,3539,140,150,1726,10620,12496
E08000025,Birmingham,2168,766,26,25,384,2561,2970
E08000026,Coventry,512,168,6,5,102,581,688
E08000027,Dudley,288,141,2,7,72,353,432
E06000019,"Herefordshire, County of ",268,119,13,7,73,320,400
E08000028,Sandwell,468,173,6,8,97,546,651
E06000051,Shropshire,359,206,6,13,112,446,571
E08000029,Solihull,220,76,1,3,40,254,297
E10000028,Staffordshire,1401,551,28,29,201,1790,2020
E06000021,Stoke-on-Trent,378,165,13,2,39,538,579
E06000020,Telford and Wrekin,146,80,1,1,37,189,227
E08000030,Walsall,369,147,6,1,80,442,523
E10000031,Warwickshire,1023,463,18,29,251,1224,1504
E08000031,Wolverhampton,359,171,0,4,66,465,535
E10000034,Worcestershire,772,313,14,16,172,911,1099
E12000006,East of England,9176,3567,192,177,1979,10781,12937
E06000055,Bedford,293,102,4,4,54,341,399
E10000003,Cambridgeshire,999,393,18,27,236,1147,1410
E06000056,Central Bedfordshire,416,175,18,13,103,493,609
E10000012,Essex,2228,744,36,36,541,2432,3009
E10000015,Hertfordshire,1717,768,25,24,337,2149,2510
E06000032,Luton,348,118,4,2,53,415,470
E10000020,Norfolk,1207,494,48,32,306,1411,1749
E06000031,Peterborough,402,155,1,4,59,495,558
E06000033,Southend-on-Sea,305,87,0,2,69,322,393
E10000029,Suffolk,1001,447,38,28,160,1298,1486
E06000034,Thurrock,260,84,0,5,61,278,344
E12000007,London,21332,3830,70,133,1882,23217,25232
E09000002,Barking and Dagenham,404,76,2,3,26,453,482
E09000003,Barnet,852,206,4,9,77,976,1062
E09000004,Bexley,411,24,2,1,29,407,437
E09000005,Brent,763,140,4,7,71,829,907
E09000006,Bromley,729,60,3,7,64,721,792
E09000007,Camden,773,161,2,2,71,863,936
E09000001,City of London,325,19,0,1,41,302,344
E09000008,Croydon,698,194,4,3,59,834,896
E09000009,Ealing,866,145,3,3,56,955,1014
E09000010,Enfield,657,131,1,5,62,722,789
E09000011,Greenwich,584,59,3,5,46,595,646
E09000012,Hackney,691,162,4,7,75,775,857
E09000013,Hammersmith and Fulham,531,82,1,2,55,557,614
E09000014,Haringey,720,157,4,1,61,819,881
E09000015,Harrow,329,94,1,4,38,382,424
E09000016,Havering,533,97,2,8,54,570,632
E09000017,Hillingdon,558,164,2,6,56,662,724
E09000018,Hounslow,681,158,3,9,56,777,842
E09000019,Islington,701,143,0,2,87,755,844
E09000020,Kensington and Chelsea,552,80,0,4,48,580,632
E09000021,Kingston upon Thames,280,49,3,3,24,305,332
E09000022,Lambeth,1070,154,2,7,91,1128,1226
E09000023,Lewisham,740,142,2,2,50,832,884
E09000024,Merton,411,82,4,2,33,462,497
E09000025,Newham,778,101,2,2,67,812,881
E09000026,Redbridge,627,88,3,4,47,667,718
E09000027,Richmond upon Thames,329,72,0,0,37,364,401
E09000028,Southwark,759,146,2,7,80,820,907
E09000029,Sutton,265,56,1,3,17,302,322
E09000030,Tower Hamlets,904,161,1,3,62,1001,1066
E09000031,Waltham Forest,552,88,2,1,45,596,642
E09000032,Wandsworth,828,154,2,6,66,912,984
E09000033,Westminster,1406,171,1,4,130,1444,1578
E09000018,London Airport (Heathrow),25,14,0,0,1,38,39
E12000008,South East,16393,5891,263,225,3804,18564,22593
E06000036,Bracknell Forest,148,61,3,4,29,179,212
E06000043,Brighton and Hove,608,170,2,1,139,640,780
E10000002,Buckinghamshire,687,292,26,20,207,778,1005
E10000011,East Sussex,1079,363,24,21,291,1154,1466
E10000014,Hampshire,2065,762,38,31,647,2187,2865
E06000046,Isle of Wight,234,75,6,5,76,234,315
E10000016,Kent,3030,1137,55,50,517,3655,4222
E06000035,Medway,493,161,1,1,69,586,656
E06000042,Milton Keynes,461,175,3,6,76,559,641
E10000025,Oxfordshire,1117,487,19,24,304,1295,1623
E06000044,Portsmouth,478,113,0,1,107,483,591
E06000038,Reading,255,93,0,1,34,313,348
E06000039,Slough,355,105,5,3,45,417,465
E06000045,Southampton ,469,122,3,3,120,471,594
E10000030,Surrey,2807,968,40,28,610,3220,3858
E06000037,West Berkshire,210,81,3,3,49,242,294
E10000032,West Sussex,1465,565,26,19,399,1638,2056
E06000040,Windsor and Maidenhead,236,98,4,3,48,287,338
E06000041,Wokingham,196,63,5,1,37,226,264
E12000009,South West,7739,3144,141,160,1725,9147,11032
E06000022,Bath and North East Somerset,210,88,5,8,42,253,303
E06000028,Bournemouth,373,109,3,2,66,421,489
E06000023,"Bristol, City of",721,218,3,7,115,820,942
E06000052,Cornwall,790,408,30,8,186,1034,1228
E10000008,Devon,1133,562,32,24,278,1425,1727
E10000009,Dorset,718,238,15,21,203,750,974
E10000013,Gloucestershire,593,208,14,24,192,599,815
E06000053,Isles of Scilly,1,0,0,0,0,1,1
E06000024,North Somerset,256,81,2,4,43,292,339
E06000026,Plymouth,433,183,3,2,73,544,619
E06000029,Poole,251,62,0,4,48,262,314
E10000027,Somerset,702,314,6,22,158,842,1022
E06000025,South Gloucestershire,266,122,6,5,42,347,394
E06000030,Swindon,311,132,5,4,63,381,448
E06000027,Torbay,222,58,1,0,34,247,281
E06000054,Wiltshire,759,361,16,25,182,929,1136
E92000001,England,92800,31418,1550,1373,17682,106994,126049